Store ID,Store GPS,Zone
25447,"-26.0000917,28.2009417",
25474,"-25.9182033,28.0198333",
25477,"-26.04793,28.1853767",
25494,"-26.0034455,28.240139",
25575,"-26.0173383,28.1903017",
25581,"-26.005997,28.229077",
25588,"-25.9988017,28.2266133",
25606,"-26.0057883,28.2147767",
25619,"-25.9875083,28.1865317",
25754,"-25.98649,28.2387633",
25817,"-26.0067183,28.185765",
25833,"-26.0056407,28.1907053",
25952,"-26.032571,28.18387",
25965,"-25.999447,28.18237",
26027,"-26.0118276,28.1870493",
26053,"-25.9989367,28.2397867",
26187,"-25.9270633,28.0083933",
26300,"-26.0092583,28.2211633",
26325,"-26.03889,28.1768467",
26349,"-26.0229867,28.2005167",
26453,"-26.0225083,28.2152867",
27047,"-26.010686,28.214828",
26835,"-26.2251283,27.8686533",
26866,"-26.263765,27.8644783",
27072,"-26.0104083,28.1777783",
27085,"-25.9741317,28.2009",
27188,"-26.2771533,27.861235",
27210,"-26.2148567,27.89077",
27219,"-26.2151517,27.9080983",
27240,"-26.014783,28.205319",
27248,"-26.2072133,27.859875",
27253,"-26.0026,28.2021633",
27257,"-26.248735,27.8240917",
27274,"-25.9974333,28.2031483",
27281,"-26.0117717,28.2440333",
27297,"-25.99324,28.1999917",
27303,"-25.93182,27.999685",
27317,"-26.0161433,28.20651",
27324,"-26.0301199,28.1837589",
27328,"-25.9962933,28.1919067",
27350,"-26.2404233,27.8104083",
27367,"-26.030711,28.165962",
27372,"-26.003825,28.1925017",
27378,"-26.0381455,28.1560176",
27383,"-26.047615,28.1820467",
27391,"-26.2197583,27.814565",
27389,"-26.2206817,27.8933633",
27407,"-26.225285,27.8919117",
27473,"-25.9962535,28.1742528",
27476,"-26.038685,28.1779517",
27482,"-26.0407817,28.1766017",
27485,"-25.997025,28.1721817",
27488,"-26.0395567,28.176285",
27496,"-25.9860983,28.1765683",
27504,"-26.23269,27.9470367",
27502,"-26.0142383,28.1950317",
27516,"-26.00311,28.2289667",
27520,"-26.199588,27.875646",
27530,"-26.0023833,28.179515",
27555,"-26.2302557,27.8716182",
27566,"-26.0148883,28.1937017",
27573,"-26.245035,27.822545",
27584,"-26.2272417,27.8863367",
27588,"-26.226565,27.8865867",
27592,"-26.0001308,28.1943612",
27608,"-26.23507,27.9495383",
27618,"-26.2467117,27.823145",
27641,"-25.972604,28.226887",
27648,"-25.9857117,28.2297683",
27667,"-26.2096017,27.877795",
27683,"-26.24143,27.955015",
27698,"-26.0335383,28.2077567",
27755,"-25.988235,28.1828833",
27766,"-26.246985,27.9533183",
27796,"-25.98654,28.2429283",
27830,"-26.2535633,27.877625",
27841,"-26.2328941,27.8800418",
27849,"-26.2122183,27.8603983",
27892,"-26.2086717,27.8622583",
27934,"-25.9851864,28.2042317",
27932,"-26.2487667,27.830145",
27938,"-26.0224033,28.2210033",
27961,"-25.981155,28.20843",
28051,"-26.00756,28.177901",
28073,"-25.9822476,28.2053284",
28074,"-26.208975,27.8806683",
28086,"-26.2077,27.882225",
28095,"-26.0394683,28.2141683",
28129,"-26.2103283,27.8613033",
28131,"-26.2071033,27.8594567",
28144,"-26.008465,28.1912733",
28160,"-25.9430367,28.0096617",
28218,"-25.9817717,28.2090433",
28224,"-25.9357067,28.0039567",
28225,"-26.218049,27.908174",
28228,"-26.24316,27.9409567",
28234,"-26.028744,28.170761",
28373,"-25.9325467,28.0009717",
28387,"-26.2376017,27.9521917",
28440,"-26.237835,27.8614067",
28461,"-26.2513183,27.945195",
28474,"-26.2408,27.9571433",
28517,"-26.2099783,27.9023483",
28588,"-25.9878866,28.212274",
28591,"-26.26264,27.8524817",
28601,"-25.917731,28.020249",
28618,"-26.1899504,27.8456124",
28637,"-26.02392,28.20801",
28666,"-26.2070333,27.88877",
28747,"-26.022006,28.236456",
28843,"-26.007425,28.19158",
28873,"-26.0026017,28.202795",
28870,"-26.262778,27.8629653",
28898,"-25.9990455,28.2459011",
28913,"-25.9991135,28.2407843",
29075,"-26.2322533,27.8786867",
29137,"-26.005245,28.2448217",
29139,"-26.206465,27.8639733",
29160,"-26.2060517,27.8835217",
29165,"-25.990115,28.2415933",
29373,"-26.2474783,27.8224200",
29446,"-26.2327866,27.9485149",
29458,"-26.2476683,27.9446733",
29460,"-25.9383749,28.0076366",
29473,"-26.2556016,27.8658283",
29481,"-25.9970300,28.2142299",
29488,"-25.9977766,28.2037133",
29506,"-25.9779833,28.2039766",
29515,"-25.9866783,28.2028283",
29554,"-25.9974107,28.1687683",
29556,"-25.9219416,28.0197716",
29561,"-26.01082,28.1867166",
29564,"-26.2424466,27.9241833",
29583,"-25.996551,28.222509",
29591,"-25.9977066,28.235305",
29603,"-26.2450133,27.9409216",
29611,"-26.2097616,27.8934666",
29616,"-26.2449416,27.8223616",
29622,"-26.2166366,27.908165",
29629,"-26.2342,27.9467033",
29641,"-26.2588766,27.8470633",
29668,"-26.025087,28.204025",
29680,"-26.2116966,27.89366166",
29692,"-26.0248066,28.205694",
29722,"-26.2186366,27.8957649",
29713,"-26.0128541,28.1918021",
29728,"-26.2435416,27.8213916",
29744,"-26.2445584,27.9448166",
29748,"-25.9211416,28.0177783",
29757,"-26.2384333,27.9535566",
29761,"-26.0294663,28.2060596",
29769,"-25.9981933,28.2142667",
29767,"-26.2398999,27.94199",
29782,"-25.9878617,28.2063583",
29786,"-26.0128283,28.1965733",
29794,"-26.2216683,27.8942517",
29809,"-25.702594,28.336275",
29829,"-26.0257233,28.2063450",
29860,"-26.2481714,27.9392343",
29872,"-26.2246562,27.8595314",
29890,"-25.9715845,28.2093496",
29901,"-25.986185,28.2132383",
29904,"-25.931273,28.0034729",
29908,"-26.2311384,27.8075127",
29911,"-26.2134582,27.8822392",
29936,"-26.0210743,28.2009416",
29937,"-26.0208905,28.2002105",
29941,"-25.9326181,27.9997767",
29950,"-25.9328294,28.014861",
30144,"-26.0267785,28.2027695",
29955,"-26.0270497,28.2078873",
29963,"-25.9703619,28.2117252 ",
29975,"-26.2578419,27.8467113",
29988,"-26.2170273,27.9399903",
29991,"-26.2437932,27.9346027",
29994,"-26.2143873,27.9455861",
30026,"-26.256232,27.9382639",
30036,"-26.251605,27.9385867",
30056,"-25.9730153,28.208984",
30060,"-26.2123032,27.915197",
30062,"-26.2381015,27.9261487 ",
30075,"-26.2170004,27.9170278",
30072,"-26.2374964,27.9371656",
30091,"-26.241838,27.9261816",
30100,"-26.2025386,27.8631942",
30104,"-26.2398813,27.9499793",
30116,"-26.2515781,27.9587653",
30137,"-26.021798,28.201533",
30150,"-26.028142,28.2075218",
30153,"-25.935848,28.0136683",
30156,"-26.2095271,27.9042118",
30159,"-26.2134637,27.9499793",
30184,"-26.2204939,27.9100706",
30188,"-26.2551084,27.9049441",
30196,"-26.2446069,27.9049441",
30201,"-25.9364856,28.0036798",
30211,"-26.0246936,28.2033814",
30216,"-26.2100168,27.8767049",
30220,"-26.2212065,27.8840704",
30226,"-26.2081266,27.8785769",
30231,"-26.2491202,27.8236327",
30267,"-26.024805,28.2041518",
30272,"-25.9196245,28.0231831",
30275,"-25.9170014,28.0195236",
30279,"-25.9222224,28.0219209",
30284,"-25.9173403,28.0195236",
30288,"-25.9200654,28.0209431",
30292,"-25.9199942,28.0210285",
30303,"-25.9239671,28.0155903",
30308,"-25.9166512,28.0228171",
30314,"-26.2353018,27.9388911",
30329,"-26.2406515,27.9463183",
30354,"-25.9282032,28.0044011",
30356,"-25.9225441,28.0162643",
30363,"-25.9227673,28.0184372",
30370,"-26.2594379,27.8472601",
30375,"-25.920070,28.015958",
30392,"-26.0312645,28.2071562",
30398,"-26.0195492,28.1914872",
30407,"-26.0257926,28.2042317",
30410,"-26.0230385,28.2012009",
30421,"-25.9971295,28.2133706",
30430,"-25.9979206,28.2064251",
30433,"-25.995184,28.2049629",
30437,"-25.9793973,28.2108118",
30441,"-25.9798425,28.2119084",
30445,"-26.2239966,27.8141074",
30453,"-26.0267785,28.2027695",
30459,"-26.0052633,28.239525",
30462,"-26.234601,27.9203233",
30468,"-26.028896,28.2071562",
30475,"-26.03169,28.2115429",
30485,"-26.2345236,27.952908",
30496,"-26.0341514,28.1822965",
30504,"-26.2494427,27.9538698",
30508,"-26.2612688,27.8502321",
30516,"-26.2486796,27.8305933",
30514,"-26.0295728,28.2071562",
30520,"-26.0314965,28.2060596",
30523,"-26.037951,28.1819309",
30527,"-26.0293117,28.2067907",
30533,"-26.0270497,28.2078873",
30530,"-26.0355157,28.1870493",
30536,"-26.034567,28.1819309",
30539,"-26.0291819,28.2196027",
30550,"-25.9982229,28.235741",
30556,"-25.9736342,28.2130995",
30567,"-25.9879594,28.1991138",
30582,"-26.2457634,27.9397284",
30587,"-26.0207207,28.229803",
30593,"-26.0254448,28.1860015",
30931,"-26.2443876,27.8591652",
30598,"-26.2161134,27.8679556",
30852,"-26.2516993,27.8552788",
30607,"-26.0220004,28.1990528",
30611,"-26.0170399,28.1896085",
30618,"-26.028142,28.2075218",
30658,"-26.2386508,27.9236186",
30674,"-26.2341396,27.9466844",
30697,"-25.9782629,28.2008546",
30699,"-26.243737,27.930167",
30708,"-26.2386508,27.9236186",
30720,"-26.2582125,27.8481765",
30725,"-26.2226866,27.863507",
30748,"-26.0188201,28.1939956",
30758,"-26.0225635,28.2035006",
30755,"-26.0238067,28.20856",
30763,"-26.0058764,28.2024039",
30767,"-26.0219641,28.203135",
30772,"-26.0138803,28.1965547",
30771,"-26.000208,28.1939956",
30781,"-26.0222936,28.2111773",
30788,"-26.0181269,28.2100807",
30786,"-26.023125,28.2104462",
30793,"-26.0181269,28.2100807",
30796,"-26.0209698,28.1913262",
30800,"-26.2243915,27.8785769",
30803,"-26.2448963,27.9631582",
30808,"-26.0336585,28.1830277",
30833,"-25.9876867,28.2250733",
30836,"-26.2156565,27.8909091",
