Account,Acc Name,Del Name,Delivery Add1,Delivery Add2,Delivery Add3,Postal Code
TA10022192,BATAVIYA TRADERS CC T/A AL CELL,BATAVIYA TRADERS CC T/A AL CELL,SHOP NO 2,16 RISSIK STREET,POLOKWANE,'0700
TA10022193,IT EXTENSION SOLUTIONS CC,IT EXTENSION SOLUTIONS CC,5 SILVERPARK,308 PIERING STREET,ELARDUSPARK GAUTENG 0181,'0174
TA10022194,MMS,MMS,215 BEYERS NAUDE DRIVE,NORTH WEST,RUSTENBURG,'0300
TA10022198,FIRST NATIONAL BANK - E-BUCKS - SDV,DIGITAL PLANET FNB WAREHOUSE,1 RUACANA STREET ,WOODMEAD,BUCCLEUGH ATT: KINGSLEY,'2146
TA10022204,RIAN COMPUTERS CC,RIAN COMPUTERS CC,30 ANCHOR STONE GRANITE CRESCENT,STONERIDGE ,CENTURION 0149,'0149
TA10022209,GRIMLEY TECHNOLOGIES,GRIMLEY TECHNOLOGIES,56 PALMER ROAD,MILTON PARK HARARE,ZIMBABWE,'2000
TA10022210,VULINDLELA OFFICE SOLUTIONS,VULINDLELA OFFICE SOLUTIONS,55 THORNHILL,9 RHINOCERUS ROAD,WELTEVREDEN PARK GAUTENG 1709,'2030
TA10022215,SA COMPUWORKS CC,SA COMPUWORKS CC,1056 BOVEN STREET,LITTLEFALLS,ROODEPOORT 1724,'1735
TA10022216,BCM DIGISDOL CC T/A GESTETNER NORTHEN PROVINCE,BCM DIGISDOL CC T/A GESTETNER NORTHEN PROVINCE,NO 1 MICHELLE CRESENT N1 INDUTRIAL PARK,N1 TO MAKHADO POLOKWANE EXT 9,POLOKWANE 0700,'0699
TA10022217,COOL IDEAS 1594 CC,COOL IDEAS 1594 CC,NO 1 STURDEE AVE 3RD FLOOR,ROSEBANK,JOHANNESBURG,'2120
TA10022219,HIGHLIGHT TECHNOLOGIES INTERNATIONAL (PVT) LTD,HIGHLIGHT TECHNOLOGIES INTERNATIONAL (PVT) LTD,42 MCCHIERY EASTLEA,HARARE,ZIMBABWE,'2000
TA10022220,PRONTO COMPUTER SOLUTIONS (PTY) LTD / TSB RENTAL FINANCE,PRONTO COMPUTER SOLUTIONS (PTY) LTD / TSB RENTAL FINANCE,TSB SUGAR MHLATI FARM,MALELANE,1200,'1206
TA10022223,MOKHU INVESTMENTS (PTY) LTD ,MOKHU INVESTMENTS (PTY) LTD ,PLOT NO. 14459/2,KAMUSHONGO ROAD,313,'2000
TA10022226,IT360 MANAGED SERVICES (PTY) LTD,IT360 MANAGED SERVICES (PTY) LTD,THE STABLES OFFICE PARK  UNIT 15,3 ATELJEE STREET,RANDPARK RIDGE EXT 52  ,'2123
TA10022227,DAFL,DAFL,AV 25 DE SETEMBRO NO. 1133,CABO DELDADO,MOZAMBIQUE,'2000
TA10022231,NETGUIDE ,NETGUIDE ,140 CANDICE GLADES,MAPLE DRIVE,NORTWOLD FAUTENG 2155,'2162
TA10022235,U P INFORMATION TECHNOLOGIES CC,U P INFORMATION TECHNOLOGIES CC,Unit 5E- Fancourt Office Park,Cnr Northumberland & Felstead Road,North Riding.,'2094
TA10022237,APPLIANCE EXPERT (PVT) LTD,APPLIANCE EX,109 NELSON MANDELA AVENUE,2ND FLOOR CORONET COURT,313,'2000
TA10022238,INVESTEC PRIVATE BANK ,INVESTEC PRIVATE BANK ,100 GRAYSTON DRIVE ,SANDTON ,313,'2146
TA10022239,INVESTEC CAPITAL MARKETS,INVESTEC CAPITAL MARKETS,100 GRAYSTON DRIVE ,SANDTON ,313,'2146
TA10022241,SML IT,SML IT,14 LABORIA ROAD,ISANDOVALLE,GAUTENH  1614,'1613
TA10022245,LANACT CC T/A IT EXPERTS,LANACT CC T/A IT EXPERTS,HILARY DRIVE,ISMINI OFFICE ESTATE 5 ISMINI AVENUE,BENDOR,'0787
TA10022247,FIRST TECHNOLOGY NATIONAL (PTY) LTD - MIDDELBURG,FIRST TECHNOLOGY NATIONAL (PTY) LTD - MIDDELBURG,46B LEBOMBO AVENUE,AERORAND,MIDDELBURG 1050,'9300
TA10022248,COMPU SOLUTIONS,COMPU SOLUTIONS,140 GORDON ROAD,COLBYN,PRETORIA,'0042
TA10022251,INCREDIBLE CONNECTION MALL OF THE NORTH,INCREDIBLE CONNECTION MALL OF THE NORTH,SHOP L26 MALL OF THE NORTH,CNR R81 AND N1 INTERCHANGE,BENDOR POLOKWANE,'2128
TA10022261,IT-IQ BOTSWANA (PTY) LTD,IT-IQ BOTSWANA (PTY) LTD,PLOT 68 UNIT 8,GABORONE INTERNATIONAL COMMERCIAL PARK,GABORONE,'2000
TA10022264,RANDOM ACCESS TECHNOLOGIES,RANDOM ACCESS TECHNOLOGIES,8TH FLOOR PEGASUS HOUSE,52-54 5 MACHEL AVENUE,313,'2000
TA10022268,UTHANDA ICT (PTY) LTD,UTHANDA ICT (PTY) LTD,TUSCANY PARK BUILDING 9,OFFICE: I-GO4 6 COOMBE PLACE,GAUTENG ,'2021
TA10022273,MULTISOURCE TELECOMS (PTY) LTD,MULTISOURCE TELECOMS (PTY) LTD,3012A  WILLIAM NICOL DRIVE,BRYANSTON,JOHANNESBURG,'2021
TA10022274,LESDYMO (PTY) LTD,LESDYMO (PTY) LTD,KOLLENBERG CENTRE,LOT 109A,313,'2000
TA10022275,PURECONNECT,PURECONNECT,920 CROTS STREET ,RIETFONTEIN,PRETORIA 0184,'0134
TA10022285,UNUSED CASH ACCOUNT,UNUSED CASH ACCOUNT,.,,JHB,'2000
TA10022289,UNUSED CREDITS,UNUSED CREDITS,.,,JHB,'2000
TA10022290,LINUX SYSTEM DYNAMICS,LINUX SYSTEM DYNAMICS,GROUND FLOORBLOCK ALIFESTYLE BUSINESS,PARKCNR BEYER NAUDE&YSTERHOUTRANDPARK RIDGE,GAUTENG,'JHB
TA10022292,MATRIX WAREHOUSE HARARE,MATRIX WAREHOUSE HARARE,36 EAST ROAD,BELGRAVIA,313,'2000
TA10022293,ARGONAUT CONSULTING ,ARGONAUT CONSULTING ,NO 15 15 STREET,MARLBORO,SANDTON,'2144
TA10022295,BVELAPHANDA BUSINESS SOLUTIONS,BVELAPHANDA BUSINESS SOLUTIONS,13 CORNELIA STREET,ROBINDALE ,RANDBURG GAUTENG,'2125
TA10022296,PRO-TOUCH SYSTEMS,PRO-TOUCH SYSTEMS,NO 49 P ON RICHARD ,FOURWAYS GARDENS,GAUTENG,'2017
TA10022298,ALIGN IINFORMATION TECHNOLOGY CC T/A ALIGN IT,ALIGN IINFORMATION TECHNOLOGY CC T/A ALIGN IT,BLOCK C HOMESTEAD AVENUE,65 HOMESTEAD AVENUE,BRYANSTON,'2194
TA10022299,KTS TECHNOLOGY SOLUTIONS (PTY) LTD,KTS TECHNOLOGY SOLUTIONS (PTY) LTD,12 NEERLANDIA ROAD,HALFWAY GARDENS EXT 4,MIDRAND GAUTENG,'2010
TA10022304,APOGAZ COMPUTERS (PVT) LTD T/A LS COMPUTER SYSTEMS,APOGAZ COMPUTERS (PVT) LTD T/A LS COMPUTER SYSTEMS,7 SUFFOLK ROAD,STRATHAVEN HARARE,ZIMBABWE,'2000
TA10022305,METRO HOME CENTRE,METRO HOME CENTRE,SHOP NO LG01 CNR LENCHEN NORTH,HEUWEL AVENUE CENTURION,GAUTENG,'0157
TA10022308,THE COPIER PARTS COMPANY,THE COPIER PARTS COMPANY,118 NELSON MANDELA AVENUE,HARARE,ZIMBABWE,'2000
TA10022314,SAMKAM INVESTMENTS LIMITED,SAMKAM INVESTMENTS LIMITED,03 OXFORD ROAD,KITWE COPPERBELT PROVINCE,ZAMBIA,'2000
TA10022315,JUPEN INTERPRISES (PTY) LTD,JUPEN INTERPRISES (PTY) LTD,PLOT 20747 BLOCK 3,BROADHURST GABORONE,BOTSWANA,'2000
TA10022319,ADVENT DATA SOLUTIONS LTD,ADVENT DATA SOLUTIONS LTD,204-266 IMPERIAL DRIVE,RAYNERS LANE HARROW,313,'2000
TA10022322,SPLITPOINT SOLUTIONS CC,SPLITPOINT SOLUTIONS CC,53 OUTPSAN ROAD,MORNINGSIDE EXT 40,SANDTON 2196,'2057
TA10022323,FOLADAM ICT,FOLADAM ICT,SUITE ID HONEYDEW SHOPRITE CENTRE,CORNER BEYERSNAUDE & BLUEBERRY ROAD,GAUTENG,'2040
TA10022328,CAVOK TECHNOLOGIES (PTY) LTD,CAVOK TECHNOLOGIES (PTY) LTD,FIRST FLOOR UNIT 2,VILLA TOSCANA,313,'2160
TA10022329,CONTINUUM SYSTEMS (PTY) LTD,CONTINUUM SYSTEMS (PTY) LTD,BLOCK DGROUND FLOOR EAST,HANS MERENSKY OFFICE PARK 32 VAN BUUREN ROAD,BEDFORDVIEW,'1645
TA10022332,TUSCALOOSA 138 (PTY) LTD T/A VODASHOP NELSPRUIT,TUSCALOOSA 138 (PTY) LTD T/A VODASHOP NELSPRUIT,4 RUSSELL STREET ,NELSPRUIT,NELSPRUIT MPUMALANGA,'1200
TA10022335,BIZBUZZ ENTERPRISES (PTY) LTD,BIZBUZZ ENTERPRISES (PTY) LTD,OFFICE 202 2ND FLOOR,KOLLENBURG HOUSE MAIN MALL,GABORONE,'2000
TA10022336,GROOM TECH (PTY) LTD,GROOM TECH (PTY) LTD,PLOT 154 UNIT 1A,GABORONE INTERNATIONAL COMMERCE PARK,313,'2000
TA10022339,ITEC COMMUNICATIONS (PTY LTD,ITEC COMMUNICATIONS (PTY LTD,90 KINGBOLT CRESENT ,WAPADRAND,PRETORIA,'0075
TA10022340,COMPUTERYARD LDA,COMPUTERYARD LDA,AV.LUCAS LUALI NO. 537 R/C,ALTO NAEMAPUTO,MOZAMBIQUE,'2000
TA10022344,SCALE CONNECTION,SCALE CONNECTION,905 BLOEDHOND STREET,GARSFONTEIN,PRETORIA GAUTENG,'0081
TA10022346,PHOENIX SOFTWARE,PHOENIX SOFTWARE,WATERFALL OFFICE PARK,26 AUGRABIES ROAD,MIDRAND GAUTENG,'212
TA10022348,WIDERANGE AFRICA TRADING,WIDERANGE AFRICA TRADING,1879 EXT 2 KLIPFONTEIN VIEW,HALFWAY HOUSE MIDRAND,GAUTENG,'2000
TA10022349,CUBED SYSTEMS,CUBED SYSTEMS,GROUND FLOOR LEEANNE,75 DOROTHY ROAD NORWOOD,GAUTENG,'2192
TA10022350,BOLBEC INVESTMENTS (PVT) LTD,BOLBEC INVESTMENTS (PVT) LTD,150 CLOVELLY ROAD,CHADCOMBE,HARARE,'2000
TA10022351,PUBLIC DISPLAY TECHNOLOGIES (PTY) LTD,PUBLIC DISPLAY TECHNOLOGIES (PTY) LTD,BOSKRUIN VIEW OFFICE PARK UNIT 1,GIRDWOOD AVE 181,BOSKRUIN,'1735
TA10022352,ITHEMBA OFFICE SOLUTIONS CC,ITHEMBA OFFICE SOLUTIONS CC,108 FIRST AVENUE,MELVILLE,GAUTENG,'2000
TA10022355,WEBS FOR AFRICA PRIVATE LTD,WEBS FOR AFRICA PRIVATE LTD,29 BASSET CRESCENT,ALEXANDRE PARK,313,'2000
TA10022356,B & TI SOLUTIONS (PTY) LTD,B & TI SOLUTIONS (PTY) LTD,1 COLUMBUS AVENUE,EASTLEIGH,GAUTENG,'1609
TA10022361,BLUEKEY NETWORK SOLUTIONS (PTY) LTD,BLUEKEY NETWORK SOLUTIONS (PTY) LTD,1ST FLOOR LIBERTY LIFE GARDENS,CNR MARCIA AND SOUTH BOULEVARD,BRUMA GAUTENG,'2008
TA10022362,UNICLOX TECHNOLOGIES,UNICLOX TECHNOLOGIES,FISH EAGLE OFFICE PARK,NO 10 KINGFISHER CRESENT,MEYERSDAL ALBERTON,'2000
TA10022364,MACRO-TECH PVT LTD,MACRO-TECH PVT LTD,NO 714-715 7TH FLOOR,OLD MUTUAL BUILDING 8TH AVENUE,313,'2000
TA10022365,OSPREY TECHNOLOGIES CC,OSPREY TECHNOLOGIES CC,7A PITT STREET,KENSINGTON B RANDBURG,GAUTENG,'2194
TA10022366,ZZZ-LAPTITUDE SOLUTIONS PTY LTD,ZZZ-LAPTITUDE SOLUTIONS PTY LTD,1ST FLOOR - WEST WING,THE CRESCENT 3 EGLIN STREET,SUNNINGHILL,'2021
TA10022367,HYPERACTIVE COMPUTERS CC,HYPERACTIVE COMPUTERS CC,34 RAE FRANKEL STREET ,BRACKENHURST ALBERTON,1448,'1454
TA10022371,REDWILL ICT,REDWILL ICT,UNIT 10/11 JURA CORNER,475/3 MALIBONGWE DRIVE CNR BOUNDARY  ROAD,GAUTENG,'2154
TA10022373,ELT,ELT,C/O CHURCH & VOORTRKKER STR,ERMELO,MPUMALANGA,'2350
TA10022374,TRINITY TEC CC,TRINITY TEC CC,69 GELDENHUIS ROAD,WYCHWOOD,GERMISTON,'1401
TA10022375,MMELA INVESTMENT HOLDINGS (PTY) LTD,MMELA INVESTMENT HOLDINGS (PTY) LTD,2 SUCCESS HOUSE 10TH FLOOR,CORNER MELLE AND WOLMARANS,BRAAMFONTEIN JOHANNESBURG,'2000
TA10022377,E F S,E F S,BLOCK 4 ALBURY OFFICE PARK,MAGALIESZICHT ROAD (CONER JAN SMUTS & ALBURY ROAD,DUNKELD WEST 2193,'2021
TA10022380,ZEN IT CC,ZEN IT CC,15 WEDZA ROAD SELCOURT,SPRINGS 1559,GAUTENG,'1559
TA10022381,LEXTRAD SERVICES (PVT) LTD,LEXTRAD SERVICES (PVT) LTD,30 GOLDEN STAIRS EMERALD HILL,HARARE,ZIMBABWE,'2000
TA10022383,INVESTEC BANK LIMITED PRETORIA,INVESTEC BANK LIMITED PRETORIA,270 KLARINET STREET,CNR ATTERBURY,MENLO PARK,'2146
TA10022384,LASER INK CC,LASER INK CC,UNIT 4 MEADOWVIEW OFFICE PARK,79 WATT STREET,MEADOWDALE,'2008
TA10022385,FUNDIE COMMUNICATIONS (PTY) LTD,FUNDIE COMMUNICATIONS (PTY) LTD,PLOT 54015 1ST FLOOR OFFICE 15,PHASE 4 PURE DROP COMPLEX,313,'2000
TA10022388,JAVATEC BOTSWANA (PTY) LTD,JAVATEC BOTSWANA (PTY) LTD,TAKATOKWANE WAY,GABORONE TECHNOLOGY PARK,313,'2000
TA10022389,NUCLEAR COMPUTER,NUCLEAR COMPUTER,26 SUZET AVENUE,FLAMWOOD KLERKSDORP,2571,'2572
TA10022391,EDGE DATA TECHNOLOGIES CC,EDGE DATA TECHNOLOGIES CC,BUILDING 7 SECTION 24 WOODHILL OFFICE PARK,53 PHILLIP ENGELBRECHT DRIVE,MEYERSDAL 1447,'2058
TA10022392,DECISION GROUP SOUTHERN AFRICA,DECISION GROUP SOUTHERN AFRICA,1 ARGYLL DRIVE,NEWLANDS HARARE,MASHONALAND,'2000
TA10022395,IDTS,IDTS,59 LOSPALMOS,BRYNTIRROLD ROAD LONEHILL 2191,GAUTENG,'2191
TA10022398,IT SQUARE ,IT SQUARE ,SHOP NO 3 MAGALIES SHOPPING CENTRE,CNR HENDRIK VERWOERD & DE BOER STR,BRITS NORTH WEST,'0250
TA10022399,DIRECTEL COMMUNICATIONS (PTY) LTD,DIRECTEL COMMUNICATIONS (PTY) LTD ,189 OLYMPIC DUEL NORTHLANDS BUSINESS PARK,HOOGLAND EXT24 NORTHRIDING,GAUTENG,'2169
TA10022400,HI FI CORPOTATION CLEARWATER COMPUTERS,HI-FI CORPORATION CLEARWATER,SHOP 7B LIFE STYLE CROSSING WEST RAND,CNR HENDRIK POTGIETER & NIC DIEDERICKS BLVD,STRUBENSVALLEY ROODEPOORT,'2000
TA10022404,XCEED TECHNOLOGIES CC,XCEED TECHNOLOGIES CC,60 CIVIN DRIVE,PELLMEADOW OFFICE PARK ,BEDFORVIEW,'0045
TA10022406,RAIL & ROAD AFRICA (PTY) LTD,RAIL & ROAD AFRICA (PTY) LTD,16 BRUNEL ROAD,TULISA PARK,JOHANNESBURG,'2146
TA10022407,THE SURVEILLANCE FACTORY CC,THE SURVEILLANCE FACTORY CC,UNIT 4C BRYANSTON GATE,CORNER MAIN ROAD AND HOMESTEAD ROAD,BRYANSTON GAUTENG,'2021
TA10022408,CARRIER CLASS COMMUNICATIONS CC,CARRIER CLASS COMMUNICATIONS CC,NUMBER 4 EMERALD HILL 2,TIN ROAD BROMHOF RANDBURG,GAUTENG,'2040
TA10022410,JSDAAV INTERNET SOLUTIONS,JSDAAV INTERNET SOLUTIONS,638 JACQUELINE DRIVE,GARSFONTEIN,PRETORIA ,'0060
TA10022411,UNIFIED TECHNOLOGIES LIMITED T/A UNITECH,UNIFIED TECHNOLOGIES LIMITED T/A UNITECH,TRANSFER FLOOR CHAYAMBA BUILDING,VICTORIA AVENUE BLANTYRE,MALAWI,'2000
TA10022415,COMDEAL,COMDEAL,16 MORESTER ROAD,GLEN MARAIS,KEMPTON PARK,'1630
TA10022416,OMEGA DIGITAL TECHNOLOGIES (PTY) LTD,OMEGA DIGITAL TECHNOLOGIES (PTY) LTD,BUILDING 5 PINEWOOD OFFICE PARK,33 RILEY ROAD,WOODMEAD,'2128
TA10022419,X-LAN CABLING CC,X-LAN CABLING CC,69 HYTHE AVENUE,MULBARTON,MULBARTON GAUTENG,'2000
TA10022424,PERCEPTIVE COMPUTER SERVICES CC,PERCEPTIVE COMPUTER SERVICES CC,9 HERPO ROAD CRAIGHALL PARK,JOHANNESBURG 2196,GAUTENG,'2000
TA10022425,PALMERTON CARTRIDGES CC,PALMERTON CARTRIDGES CC,NO 2 VALLEY ROAD,BENMORE GARDENS,SANDTON,'2017
TA10022428,DAJO TECHNOLOGIES (PTY) LTD,DAJO TECHNOLOGIES (PTY) LTD,DAJO HOUSE WHITBY MANOR OFFICE ESTATE,14TH ROAD MIDRAND,GAUTENG,'2000
TA10022429,QUINTICA SA (PTY) LTD,QUINTICA SA (PTY) LTD,AUGUSTA BUILDING THE CAMPUS,57 SLOANE STREET BRYANSTON,GAUTENG,'2021
TA10022434,ENGNET SOLUTIONS CC,ENGNET SOLUTIONS CC,BLOCK G HURLINGHAM OFFICE PARK,WOODLANDS AVENUE HURLINGHAM,SANDTON GAUTENG,'2146
TA10022443,SYNDICATE DATABASE SOLUTIONS (PTY) LTD,SYNDICATE DATABASE SOLUTIONS (PTY) LTD,BROADACRES BUSINESS CENTRE,CORNER 3RD AVENUE & CEDDAR ROAD,BROADACRES GAUTENG,'2021
TA10022446,COMPUDYNAMICS SOUTH AFRICA CC,COMPUDYNAMICS SOUTH AFRICA CC,GLEN CURVE CENTRE CORNER ELM AND BEECH STREET,DOWERGLEN EDENVALE,GAUTENG,'2047
TA10022450,MELCOB SUPPLIES,MELCOB SUPPLIES,27 CECIL KNIGHT STREET ,,KRUGERSDORP ,'1734
TA10022453,THAGAMOSO (PTY) LTD ,THAGAMOSO (PTY) LTD ,2ND ELAND STREET,ORAPA,BOTSWANA,'2000
TA10022456,INTEGRALIS IT CONSULTING CC,INTEGRALIS IT CONSULTING CC,71 FISH EAGLE DRIVE,PECANWOOD,NORTH WEST,'0240
TA10022457,KS CHANNELS (PTY) LTD,KS CHANNELS (PTY) LTD,PLOT 64 UNIT 25,G.I.C.P.,GABORONE,'2000
TA10022459,EVT TRADING CC,EVT TRADING CC,18 DEVON ROAD KENSINGTON,JOHANNESBURG,313,'2094
TA10022460,DUELBAR TRADERS CC T/A COMPUTER CORPORATION(BRITS),DUELBAR TRADERS CC T/A COMPUTER CORPORATION(BRITS),LUDORF STREET AND MACLEAN STREET,BRITS,0250,'0250
TA10022465,RT SYSTEMS (PTY) LTD,RT SYSTEMS (PTY) LTD,157 BARRY HERTZOG AVENUE,AMMERENTIA EXTENSION 1 2195,GAUTENG,'2122
TA10022467,IT STORES,IT STORES,26 ALICE ROAD,KENSINGTON 2094,GAUTENG,'2101
TA10022468,DELL COMPUTER (PTY) LTD,DELL COMPUTER (PTY) LTD,LORDS BUILDING,THE CAMPUS 57 SLOANE STREET,BRYANSTON 2021,'2021
TA10022469,HIFI CARNIVAL MALL COMPUTERS,HIFI CARNIVAL MALL COMPUTERS,SHOP 169 MALL @ CARNIVAL,CNR AIRPORT & HEIDELBERG ROAD,EXTENTION 5 DALPARK BRAKPAN,'2000
TA10022472,NOVAS SOLUCOES LDA,NOVAS SOLUCOES LDA,AV JULIUS NYERERE,N941 R/C MAPUTO,MOZAMBIQUE,'2000
TA10022474,TECMED AFRICA (PTY) LTD,TECMED AFRICA (PTY) LTD,GEORGE STREET ERANDS GARDENS,NOORDWYK MIDRAND,MIDRAND JOHANNESBURG,'1685
TA10022483,INVESTEC PROPERTY(PTY) LTD,INVESTEC PROPERTY(PTY) LTD,100 GRAYSTON DRIVE ,SANDTON ,313,'2146
TA10022486,RYDER INVESTMENTS (PTY) LTD,RYDER INVESTMENTS (PTY) LTD,PLOT 10223/3,BROADHURST INDUSTRIAL,GABORONE,'2000
TA10022487,FIAMMETTA LDA,FIAMMETTA LDA,RUA DA RESISTENCIA NO. 1005,MAPUTO CIDADE,MOZAMBIQUE,'2000
TA10022498,EDUCATIONAL AND COMPUTER SERVICES,EDUCATIONAL AND COMPUTER SERVICES,PLOT 45 UNIT 8,GABORONE INTERNATIONAL COMMERCE PARK ,BOTSWANA,'2000
TA10022500,NASHUA BOTSWANA,NASHUA BOTSWANA,PLOT 1266 LUTHULI STREET,OLD INDUSTRIAL,GABORONE,'2000
TA10022504,PINNACLE EXPRESS COURIERS,PINNACLE EXPRESS COURIERS,NORTHRIDING COMMERCIAL PARK,CNR EPSOM & MALIBONGWE DRIVE,NORTHRIDING,'2155
TA10022505,AFROCENTRIC IP,AFROCENTRIC IP,CORNER MEIRING NAUDE AND HOTEL STREET,1 ST FLOOR INNOVATION CENTRE @ INNOVATION HUB,GAUTENG,'2000
TA10022506,COM-LINK (PTY) LTD T/A COM-LINK,COM-LINK (PTY) LTD T/A COM-LINK,PLOT 685 UNIT 107,DIGITECH HOUSE MAIN MALL,GABORONE,'2000
TA10022507,INTEGRATED DIGITAL NETWORKS,INTEGRATED DIGITAL NETWORKS,2ND FLOOR GATE 3 POWERSPEED COMPLEX,CNR KELVIN ROAD & CRIPPS GRANITESIDE,313,'2000
TA10022510,PREMIUM IT CC,PREMIUM IT CC,114 PRICHARD STREET,JOHANNESBURG NORTH,GAUTENG,'2161
TA10022517,ACTIVATE TELECOMS (PTY) LTD,ACTIVATE TELECOMS (PTY) LTD,BLOCK 11 PINEWOOD OFFICE PARK,33 RILEY ROAD WOODMEAD 2191,GAUTENG,'2024
TA10022518,HIFI SOUTHGATE COMPUTERS,HI-FI CORPORATION SOUTHGATE,SOUTHGATE SHOPPING CENTRE SHOP U244 & U245,CNR COLUMBINE & RIFLE RANGE ROAD,MONDEOR,'2000
TA10022521,CIRCUIT CITY ELECTRONICS SA (PTY) LTD,CIRCUIT CITY ELECTRONICS SA (PTY) LTD,1ST FLOOR 24 CRESENT DRIVE,MELROSE ARCH,GAUTENG,'2117
TA10022525,ISER (PTY) LTD,ISER (PTY) LTD,1ST FLOOR THE CHAMBERS,266 LOUIS BOTHA AVENUE,ORANGE GROVE JOHANNESBURG,'2119
TA10022528,APEX DIGITAL SYSTEMS (PTY) LTD,APEX DIGITAL SYSTEMS (PTY) LTD,PLOT 104 UNIT 58,TSUKUDU STREET COMMERCE PARK,GABORONE,'2000
TA10022530,OPEN SOURCE (PTY) LTD,OPEN SOURCE (PTY) LTD,BLUE JACKET STREET,FRANCISTOWN,BOTSWANA,'2000
TA10022531,VENTURECOM,VENTURECOM,45 SANFORD CRESCENT,EASTLEA HARARE,ZIMBABWE,'2000
TA10022536,SAGE INFORMATICS (PTY) LTD,SAGE INFORMATICS (PTY) LTD,SAGE INFORMATICS HOUSE ,55 KYALAMI BOULEVARD KYALAMI BUSINESS PARK ,KYALAMI ,'2066
TA10022539,ATA TECHNOLOGIES,ATA TECHNOLOGIES,183 PRESIDENT STREET,CORNER MOOI,JOHANNESBURG,'2000
TA10022542,POS SERVICES CC,POS SERVICES CC,967 CONFIDENCE STREET,STRUBENSVALLEY,GAUTENG,'1715
TA10022547,ISIKHIYE ASSET FINANCE CC,ISIKHIYE ASSET FINANCE CC,41 WESSELS ROAD,RIVONIA,GAUTENG,'2000
TA10022548,IT FOR YOUR TYPE CC,IT FOR YOUR TYPE CC,12 RYDER ROAD,BORDEAUX,RANDBURG GAUTENG,'2000
TA10022549,JC IT SOLUTIONS (PTY) LTD,JC IT SOLUTIONS (PTY) LTD,39 ORMONDE STREET,BRYANSTON,GAUTENG,'2000
TA10022553,SERVISIS MOZAMBIQUE,SERVISIS MOZAMBIQUE,AV.TRABALHO NO. 2106,MAPUTO,MOZAMBIQUE,'2000
TA10022557,SMART SHIELD IT SOLUTIONS CC T/A SMART SOLUTIONS,SMART SHIELD IT SOLUTIONS CC,UNIT 33 MITCO INDUSTRIAL PARK,CNR HOUTKOP ROAD & JHB ROAD,DUNCANVILLE,'1941
TA10022558,PROCESS CONTROL & INTEGRATION TECHNOLOGY (PTY) LTD,PROCESS CONTROL & INTEGRATION TECHNOLOGY (PTY) LTD,NORTHLANDS BUSINESS PARK MINI BUSINESS UNIT 5,29 NEW MARKET ROAD NORTHRIDING,RANDBURG,'2125
TA10022560,ORYX IT SOLUTIONS CC,ORYX IT SOLUTIONS CC,15 ROSSLYN STREET ISANDOVALE EDENVALE 1609,EDENVALE,GAUTENG,'1613
TA10022565,DIRECT DEALS,DIRECT DEALS,THE CHAMBERS ISER BUILDING,1ST FLOOR 266 LOUIS BOTHA CNR 6TH STREET,ORANGE GROVE,'2010
TA10022566,NETXCOM ICT SOLUTIONS,NETXCOM ICT SOLUTIONS,LAKEFIELDS OFFICE PARK  BLOCK D  FIRST FLOOR,272 WEST STREET ,CENTURION 0046,'0046
TA10022572,RJ CONNECT CC,RJ CONNECT CC,1 AVOCET CLOSE,BROMHOF,RANDBURG,'2160
TA10022574,ONE EIGHTY NETWORKS CC,ONE EIGHTY NETWORKS CC,83 MOWBRAY AVENUE,LAKEFIELD ,BENONI,'2000
TA10022580,MAKRO NELSPRUIT 6923,M21 - MAKRO NELSPRUIT 6923,ERF 901WEIR ROAD,RIVERSIDE PARK EXT 24,NELSPRUIT,'2156
TA10022581,MAKRO POLOKWANE 6923,M22 - MAKRO POLOKWANE 6923,M22 ERF 5654 CNR MARMER&MAGNESIET ,PIETERSBURG EXT 12,POLOKWANE,'2156
TA10022582,MAKRO MONTAGUE 6923,M20 - MAKRO MONTAGUE 6923,M20 ERF 36509 ,3 TOPAZ BOULEVARD,MILNERTON,'2156
TA10022583,DAZZLING COMPUTER SERVICES CC,DAZZLING COMPUTER SERVICES CC,SHOP 3-6 SPAR CENTRE,GROBLER STREET,GROBLERSDAL,'2000
TA10022588,BAMBOLUNYE TECHNOLOGIES (PTY) LTD,BAMBOLUNYE TECHNOLOGIES (PTY) LTD,G13 VAN DYK BUSINESS PARK,CORNER VAN DYK AND BRAKPAN ROADS BOKSBURG EAST 147,GAUTENG,'1478
TA10022592,VICTORY TICKET 208 CC,VICTORY TICKET 208 CC,15 GIBSON DOWNS,GIBSON DRIVE,313,'2000
TA10022595,INFORMATION TECHNOLOGY INTEGRATORS,INFORMATION TECHNOLOGY INTEGRATORS,PLOT 168 UNIT 3 GICP,GABORONE,BOTSWANA,'2000
TA10022599,HOME GROWN BUSINESS INTEGRATIONS CC,HOME GROWN BUSINESS INTEGRATIONS CC,348 RIVONIA BOULEVARD BLOCK F,GROUND FLOOR EDENBURG TERRACES,RIVONIA,'1600
TA10022600,ATS ALL TECHNOLOGY SOLUTIONS CC,ATS ALL TECHNOLOGY SOLUTIONS CC,SILVER LAKES OFFICE PARK NO1,VON BACKSTROM BLVD,SILVER LAKES PRETORIA,'0040
