Account,Acc Name,Del Name,Delivery Add1,Delivery Add2,Delivery Add3,Postal Code
TA1015206,INCREDIBLE SOLUTIONS (SA) (PTY) LTD,INCREDIBLE SOLUTIONS (SA) (PTY) LTD,INDIANAPOLIS BOULEVARD,RACEWAY INSDUSTRIAL PARK,GOSFORTH PARKGERMISTON,'2061
TA1015210,T J OFFICE SUPPLIES CC,T J OFFICE SUPPLIES CC,40 TALBRAGAR AVENUE,CRAIGHALL,CRAIGHALL,'2196
TA1015220,SOS SUPPORT OPERATING SYSTEMS CC,SOS SUPPORT OPERATING SYSTEMS CC,28 TIEMIE ROAD,BRYANSTON,GAUTENG,'2055
TA1015225,LOCAL TRADER (PTY) LTD,LOCAL TRADER (PTY) LTD,96 6TH ROAD,BREDELL,KEMPTON PARK,'1620
TA1015232,CRANSWICK COMPUTING CC,CRANSWICK COMPUTING CC,GROUND FLOOR ,BLOCK D LONEHILL OFFICE PARK,CNR LONEHILL BOULEVARD & LONE CLOSE,'2068
TA1015238,INSIDE INFORMATION SYSTEMS (PTY) LTD,INSIDE INFORMATION SYSTEMS (PTY) LTD,C C G PARK,26 CHRISTEEN AVENUE ,CYRILDENE,'2122
TA1015239,INFORMATRONICS CONSULTING & DISTRIBUTION (PTY) LTD,INFORMATRONICS CONSULTING & DISTRIBUTION (PTY) LTD,77 CLEARWATER,LYNWOOD GLEN,PRETORIA,'0028
TA1015251,REAL IMAGE (PTY) LTD,REAL IMAGE (PTY) LTD,BLOCK C MTN OFFICE PARK,SMUTS STR,MBABANE SWAZILAND,'MBABANE
TA1015253,IS PARTNERS (PTY) LTD T/A INFORMATION SYSTEMS PARTNERS,IS PARTNERS (PTY) LTD T/A INFORMATION SYSTEMS PARTNERS,IS PARTNERS BUILDING 2ND FLOOR DESIGN QUARTER,LESLIE AVE EAST,FOURWAYS,'2128
TA1015258,INTUITIVE IT SOLUTIONS CC,INTUITIVE IT SOLUTIONS CC,16 RUTH AVENUE,DUNVEGAN,EDENVALE,'1610
