ACC#,CUSTOMER NAME,SEQ
GOU006,Gourmet Food Services PTY LTD,27,RANDBURG FINAL ROUTE,-26.0854823701886,27.9710519313812
PRE021,Bidvest Managed Solutions,28,RANDBURG FINAL ROUTE,-26.0832757085246,27.9734981060028
SAN513,Jonarley Shopping Centre,29,RANDBURG FINAL ROUTE,-26.0820880447958,27.9822742938995
PAT019,Patio Warehouse,30,RANDBURG FINAL ROUTE,-26.0699914972672,27.9757994413376
PRE082,Prestige Awards,31,RANDBURG FINAL ROUTE,-26.0792260388777,27.9954949021339
FRA066,Ferndale Shopping Centre,32,RANDBURG FINAL ROUTE,-26.0818543651179,27.9987967014313
SOD240,Sodexo - Boehringer Ingelheim,33,RANDBURG FINAL ROUTE,-26.0819748186184,27.9970505833626
FIR030,FNB Randburg Lunch Club- Kent Ave,34,RANDBURG FINAL ROUTE,-26.0835551570623,28.0013555288315
SOD227,Sodexo Inter Active Technology Company Randburg,35,RANDBURG FINAL ROUTE,-26.0878094377413,28.005051612854
SAN501,Sandwich Baron Randburg,36,RANDBURG FINAL ROUTE,-26.0851451101824,28.0061084032059
RAN095,Randburg Engen Service station,37,RANDBURG FINAL ROUTE,-26.0825048125478,28.0087369680405
SOD126,St Stithians College,38,RANDBURG FINAL ROUTE,-26.0865230520811,28.0092358589172
INT112,In the Kitchen Innovation Group(PTY) LTD,39,RANDBURG FINAL ROUTE,-26.0868771708925,28.0079765617847
CAI006,Caity Adi Bellas,40,RANDBURG FINAL ROUTE,-26.0930800987212,28.0137392878532
REE009,Garden Village,41,RANDBURG FINAL ROUTE,-26.0962500894189,28.0160754919052
FIR055,Computer Centre Randburg,42,RANDBURG FINAL ROUTE,-26.0950697837711,28.0019670724869
MND007,Mndhavazi- MTN Randburg,43,RANDBURG FINAL ROUTE,-26.0948078989008,27.9991549372608
RAN003,Randburg Towers Hotel,44,RANDBURG FINAL ROUTE,-26.0977097978904,27.9957175254822
MER003,Mercure Hotel Randburg,45,RANDBURG FINAL ROUTE,-26.0994922554785,27.99046844244
KAU078,Brightwaters Commons,46,RANDBURG FINAL ROUTE,-26.1007977679911,27.989741563797
RAN082,Randburg Hoerskool Tuckshop,47,RANDBURG FINAL ROUTE,-26.1066603511462,27.9885613918304
DRE005,Dream Vacation Club - Randburg,48,RANDBURG FINAL ROUTE,-26.1118001062151,27.9948069155216
ALP083,Alpine Butchery & Deli,49,RANDBURG FINAL ROUTE,-26.1132259026335,27.9992634057999
